idx,brand,title,model,serie,type,engineVolume,engineType,enginePower,line,year,gearbox,km,gas,price,label,place,location
2897,volkswagen,volkswagen-t-roc-phase-2-2022-manual-58499-km-diesel,volkswagen t-roc,phase 2,2.0 TDI 116 LIFE,2.0,TDI,116,LIFE,2022,Manuelle,58499,Diesel,24499,Offre équitable,VOLKSWAGEN CHARLEVILLE - GROUPE AUTOSPHERE,08
2898,volkswagen,volkswagen-t-roc-phase-2-2022-manual-58499-km-diesel,volkswagen t-roc,phase 2,2.0 TDI 116 LIFE,2.0,TDI,116,LIFE,2022,Manuelle,58499,Diesel,24499,Offre équitable,INTENZ CHARLEVILLE-MEZIERES,08
2899,volkswagen,volkswagen-t-roc-2022-auto-58500-km-essence,volkswagen t-roc,,1.5 TSI 150 DSG7 R-LINE,1.5,TSI,150,DSG7 R-LINE,2022,Auto,58500,Essence,24400,Bonne affaire,CAPCAR,76
2900,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-58515-km-hybrides,volkswagen tiguan,II phase 2,1.4 E-HYBRID 245 LIFE BUSINESS,1.4,E-HYBRID,245,LIFE BUSINESS,2022,Auto,58515,Hybrides,27590,Offre équitable,J. BERVAS AUTOMOBILES LORIENT,56
2901,volkswagen,volkswagen-t-roc-phase-2-2022-manual-58665-km-essence,volkswagen t-roc,phase 2,1.0 TSI 110 LIFE BUSINESS,1.0,TSI,110,LIFE BUSINESS,2022,Manuelle,58665,Essence,20990,Offre équitable,VOLKSWAGEN SEAT SAINT ETIENNE RAVON AUTOMOBILE,42
2902,skoda,skoda-karoq-2022-auto-58779-km-essence,skoda karoq,,1.5 TSI 150 SPORTLINE,1.5,TSI,150,SPORTLINE,2022,Auto,58779,Essence,28490,Offre équitable,VOLKSWAGEN BETHUNE - VGRF HAUTS DE FRANCE,62
2903,volkswagen,volkswagen-t-roc-phase-2-2022-manual-58820-km-essence,volkswagen t-roc,phase 2,1.5 TSI 150 STYLE,1.5,TSI,150,STYLE,2022,Manuelle,58820,Essence,23900,Offre équitable,GALAXIE AUTOMOBILES,91
2904,volkswagen,volkswagen-tiguan-ii-phase-2-2022-auto-58870-km-hybrides,volkswagen tiguan,II phase 2,1.4 E-HYBRID 245 R-LINE EXCLUSIVE,1.4,E-HYBRID,245,R-LINE EXCLUSIVE,2022,Auto,58870,Hybrides,35990,Offre équitable,CARPOLE OCCASIONS,95
2905,volkswagen,volkswagen-t-roc-phase-2-2022-auto-59000-km-essence,volkswagen t-roc,phase 2,1.5 TSI 150 LIFE BUSINESS,1.5,TSI,150,LIFE BUSINESS,2022,Auto,59000,Essence,24400,Offre équitable,VOLKSWAGEN EUROPE GARAGE OYONNAX,ARBENT
2906,volkswagen,volkswagen-t-roc-2022-manual-59050-km-essence,volkswagen t-roc,,1.0 TSI 110 LOUNGE BUSINESS,1.0,TSI,110,LOUNGE BUSINESS,2022,Manuelle,59050,Essence,14000,Très bonne affaire,Vendeur particulier,04
